start,end
523293,527541
614156,618038
614156,617930
614156,617921
523293,527046
523293,526980
614156,617678
205125,208608
614156,617657
523293,526812
523293,526791
205125,208527
30816,34038
523293,526647
614156,617432
614156,617393
598713,601857
598713,601830
486838,489898
523293,526380
598713,601713
523293,526371
523293,526338
523293,526311
22390,25207
205125,207957
598713,601464
598713,601461
22390,25105
598713,601452
486838,489517
123016,125680
523293,526065
108380,110984
131587,134212
164729,167264
164729,167237
614156,616688
523293,525870
486838,489277
486838,489262
598713,601182
22390,24817
197927,200360
197927,200357
336,2799
336,2784
205125,207540
520415,522830
22390,24763
458887,461242
123016,125341
164729,167087
22390,24715
520415,522776
197927,200255
614156,616496
598713,601041
486838,489106
205125,207444
22390,24676
520415,522725
520415,522716
523293,525654
520415,522704
108380,110603
131587,133822
197927,200174
559996,562300
614156,616427
197927,200162
197927,200144
486838,489013
523293,525573
614156,616358
520415,522602
486838,488965
164729,166895
486838,488956
559996,562192
209678,211820
164729,166856
520415,522557
108380,110447
162422,164534
22390,24451
523293,525447
523293,525426
162422,164480
108380,110381
164729,166745
486838,488800
131587,133567
205125,207129
523293,525363
598713,600699
162422,164420
614156,616124
486838,488740
614156,616112
12162,14079
131587,133501
495119,496994
486838,488710
461914,463786
197927,199832
22390,24274
520415,522338
598713,600621
352705,354592
520415,522320
197927,199808
125694,127587
123016,124855
47768,49631
209678,211550
614156,616034
559996,561874
458887,460696
422514,424332
520415,522251
495119,496895
422514,424323
427679,429494
47768,49562
486838,488584
108380,110144
533915,535697
164729,166508
123016,124753
523293,525132
470635,472417
486838,488563
167975,169727
91412,93179
162422,164183
352705,354445
422514,424251
125694,127446
197927,199655
630292,631999
22390,24097
167975,169682
559996,561736
205125,206826
470635,472342
368610,370275
520415,522113
504913,506566
162422,164096
85653,87354
504913,506560
486838,488464
598713,600369
546679,548347
164729,166373
652234,653893
197927,199565
559996,561670
85653,87330
520415,522068
22390,23992
286788,288399
162422,164051
486838,488413
626069,627680
598713,600318
162422,164033
164729,166325
469056,470643
546679,548290
626069,627656
639752,641318
614156,615752
137082,138633
336777,338325
162422,163982
22390,23917
486838,488344
108380,109901
22390,23914
336,1899
559996,561562
486838,488323
368610,370116
422514,424020
523293,524871
598713,600225
469056,470559
486838,488293
286788,288270
131587,133060
108380,109835
167975,169433
286788,288240
351214,352666
568901,570428
336,1806
338324,339743
680211,681663
352705,354142
537632,539087
520415,521858
495119,496520
390250,391711
422514,423936
162422,163859
22390,23800
209678,211097
338324,339722
